entry_number,gulper_id,task,subtask,entry_start_time,entry_end_time,duration_seconds,job_id,source_file,job_date
1,4,Earthworks,Dig trench,10:29:07,10:31:58,171.3,2026-05-21_01,2026-05-21_01.csv,2026-05-21
2,23,Earthworks,Dig trench,10:29:27,10:30:11,44.7,2026-05-21_01,2026-05-21_01.csv,2026-05-21
3,23,Rest,NA,10:30:11,10:31:55,103.4,2026-05-21_01,2026-05-21_01.csv,2026-05-21
4,23,Earthworks,Dig trench,10:31:55,10:32:25,30.7,2026-05-21_01,2026-05-21_01.csv,2026-05-21
5,4,Rest,NA,10:31:58,10:34:13,134.2,2026-05-21_01,2026-05-21_01.csv,2026-05-21
6,23,Rest,NA,10:32:25,10:32:31,6,2026-05-21_01,2026-05-21_01.csv,2026-05-21
7,23,Earthworks,Dig trench,10:32:31,10:34:42,130.3,2026-05-21_01,2026-05-21_01.csv,2026-05-21
8,4,Equipment,Repairing,10:34:13,10:34:45,32.7,2026-05-21_01,2026-05-21_01.csv,2026-05-21
9,23,Rest,NA,10:34:42,10:34:49,7,2026-05-21_01,2026-05-21_01.csv,2026-05-21
10,4,Rest,NA,10:34:45,10:35:02,16.9,2026-05-21_01,2026-05-21_01.csv,2026-05-21
11,23,Earthworks,Dig trench,10:34:49,10:35:29,39.9,2026-05-21_01,2026-05-21_01.csv,2026-05-21
12,4,Earthworks,Dig trench,10:35:02,10:35:12,9.6,2026-05-21_01,2026-05-21_01.csv,2026-05-21
13,4,Rest,NA,10:35:12,10:35:25,13.2,2026-05-21_01,2026-05-21_01.csv,2026-05-21
14,4,Earthworks,Dig trench,10:35:25,10:36:39,73.7,2026-05-21_01,2026-05-21_01.csv,2026-05-21
15,23,Rest,NA,10:35:37,10:39:21,224,2026-05-21_01,2026-05-21_01.csv,2026-05-21
16,4,Rest,NA,10:36:39,10:36:52,12.9,2026-05-21_01,2026-05-21_01.csv,2026-05-21
17,4,Earthworks,Dig trench,10:37:00,10:40:21,201.4,2026-05-21_01,2026-05-21_01.csv,2026-05-21
18,23,Communication,With client(s),10:39:21,10:39:54,32.8,2026-05-21_01,2026-05-21_01.csv,2026-05-21
19,23,Rest,NA,10:39:59,10:40:39,40.3,2026-05-21_01,2026-05-21_01.csv,2026-05-21
20,4,Rest,NA,10:40:28,10:40:32,4.4,2026-05-21_01,2026-05-21_01.csv,2026-05-21
21,4,Earthworks,Dig trench,10:40:32,10:44:08,215.3,2026-05-21_01,2026-05-21_01.csv,2026-05-21
22,23,Communication,With other gulper(s),10:40:39,10:40:46,6.3,2026-05-21_01,2026-05-21_01.csv,2026-05-21
23,23,Rest,NA,10:40:46,10:41:43,57.4,2026-05-21_01,2026-05-21_01.csv,2026-05-21
